"","CH4.ugL","CO2.ugL","N2O.ugL","O2.mgL","watertemp","slope","depth","GPP","ER","NO3.mgl","DOC.mgl","discharge"
"CH4.ugL",1,0.681395118236883,-0.119077080715868,-0.753282069963712,0.16654976926447,-0.534257111484696,-0.110296305700928,0.015844953111347,0.422350877899335,-0.228223821515324,-0.36269088830385,-0.378575662907721
"CO2.ugL",0.681395118236883,1,-0.176625466515429,-0.629140594971517,-0.354485469694916,-0.208933032136267,0.206556854502715,-0.524342325556028,0.560186339711189,-0.0652183230012242,0.0241625452092251,0.0188573653364388
"N2O.ugL",-0.119077080715868,-0.176625466515429,1,0.280385921423359,-0.0650525772238642,-0.174176667242961,-0.053344755292058,0.202168870342653,-0.479985924193654,0.32565570259589,-0.134191229561762,-0.146497027207334
"O2.mgL",-0.753282069963712,-0.629140594971517,0.280385921423359,1,-0.374209387159433,0.317597119331112,0.04894753756999,0.0130782314108492,-0.525772956307946,0.242090017428678,0.132263936507252,0.0730282499152424
"watertemp",0.16654976926447,-0.354485469694916,-0.0650525772238642,-0.374209387159433,1,-0.168091543511687,-0.117590235923327,0.586960935671962,-0.251664213644104,-0.350576320161685,-0.214689689356474,-0.0757456552909939
"slope",-0.534257111484696,-0.208933032136267,-0.174176667242961,0.317597119331112,-0.168091543511687,1,0.100605014645525,-0.280350827959587,-0.0567218393519901,-0.0302965634297135,0.223600967880052,0.115401933973847
"depth",-0.110296305700928,0.206556854502715,-0.053344755292058,0.04894753756999,-0.117590235923327,0.100605014645525,1,-0.298928257391705,-0.08813399241388,0.246324139360033,0.548181796084508,0.503668986399291
"GPP",0.015844953111347,-0.524342325556028,0.202168870342653,0.0130782314108492,0.586960935671962,-0.280350827959587,-0.298928257391705,1,-0.228920318241332,-0.122102904736738,-0.35596721265441,-0.416682890938341
"ER",0.422350877899335,0.560186339711189,-0.479985924193654,-0.525772956307946,-0.251664213644104,-0.0567218393519901,-0.08813399241388,-0.228920318241332,1,-0.0354928906368908,0.0100751265792017,0.0100577410252649
"NO3.mgl",-0.228223821515324,-0.0652183230012242,0.32565570259589,0.242090017428678,-0.350576320161685,-0.0302965634297135,0.246324139360033,-0.122102904736738,-0.0354928906368908,1,0.470638273798099,0.208905376424268
"DOC.mgl",-0.36269088830385,0.0241625452092251,-0.134191229561762,0.132263936507252,-0.214689689356474,0.223600967880052,0.548181796084508,-0.35596721265441,0.0100751265792017,0.470638273798099,1,0.795723571492591
"discharge",-0.378575662907721,0.0188573653364388,-0.146497027207334,0.0730282499152424,-0.0757456552909939,0.115401933973847,0.503668986399291,-0.416682890938341,0.0100577410252649,0.208905376424268,0.795723571492591,1
